County,Clinton_Hillary,Sanders_Bernie,O'Malley_Martin,De La Fuente_Rocky,Trump_Donald,Cruz_Ted,Rubio_Marco,Kasich_John,Carson_Ben,Paul_Rand,Bush_Jeb,Christie_Chris,Santorum_Rick,Fiorina_Carly,Huckabee_Mike
Cumberland,78,87,1,0,460,246,173,87,12,5,3,0,0,1,3
Daviess,5066,5188,161,47,1191,1739,1050,674,26,17,2,2,0,0,1
Edmonson,275,262,4,0,531,210,150,91,7,3,3,1,0,0,1
Elliott,285,437,17,7,17,15,3,4,0,0,0,0,0,0,0
Estill,446,440,12,3,313,159,88,40,35,1,11,0,1,1,2
Fayette,20014,17049,189,57,3727,4330,3320,3266,99,72,22,5,1,3,6
Fleming,627,806,25,6,329,244,81,104,8,4,4,0,0,0,2
Floyd,2327,4010,161,64,278,147,72,65,3,9,0,0,0,1,3
Franklin,5218,5398,159,59,582,699,422,331,42,12,2,1,0,0,1
Fulton,315,245,17,6,66,56,14,20,0,1,1,0,0,0,0
Gallatin,260,340,12,3,121,82,25,60,2,0,0,0,0,0,0
Garrard,434,387,7,3,581,457,178,128,10,1,7,1,0,0,2
Grant,594,715,41,7,488,450,127,197,13,4,0,0,0,0,2
