Precinct Name,Carson_Ben,Fiorina_Carly,Christie_Chris,Trump_Donald,Bush_Jeb,Gilmore_Jim,Kasich_John,Graham_Lindsey,Rubio_Marco,Huckabee_Mike,Cruz_Ted,Paul_Rand,Santorum_Rick,Sanders_Bernie,Clinton_Hillary,O'Malley_Martin,
202 - FLATWOODS,8,0,0,57,0,0,3,0,17,1,44,0,0,10,13,0,
203 - JONESVILLE,16,0,0,136,1,0,12,0,47,1,42,0,0,19,29,1,
301 - BEN HUR,15,0,0,136,1,0,5,0,42,1,57,0,0,25,37,4,
302 - WOODWAY,7,0,0,87,0,0,5,0,20,0,24,0,0,4,16,0,
401 - STICKLEYVILLE,9,0,0,42,0,0,2,0,16,0,28,0,2,4,25,0,
402 - JASPER,6,0,0,58,1,0,1,0,11,0,11,0,0,19,9,2,
403 - SEMINARY,12,0,0,72,0,0,4,0,30,2,27,0,0,9,14,0,
404 - DRYDEN,5,0,0,101,0,0,4,1,23,0,21,0,0,18,22,1,
501 - SAINT CHARLES,2,1,0,39,0,0,0,0,12,1,12,0,0,9,12,0,
502 - PENNINGTON,11,0,0,90,0,0,11,0,33,0,36,0,0,8,28,1,
503 - ROBBINS CHAPEL,1,0,0,22,0,0,0,1,9,0,10,0,0,1,4,0,
504 - KEOKEE,6,3,0,32,0,0,2,0,9,0,6,0,0,1,15,1,
107 - LITTLE RIVER,22,0,0,145,3,0,93,0,341,1,83,1,0,158,230,5,
108 - MERCER,22,0,0,162,1,1,51,0,229,0,77,5,0,130,218,5,
112 - FREEDOM,12,0,0,99,3,0,45,0,174,0,53,2,0,114,157,2,
114 - DULLES SOUTH,22,0,0,90,0,0,29,0,143,0,62,2,0,110,154,4,
117 - CARTER,5,0,1,41,0,0,11,0,59,1,22,0,0,96,125,0,
118 - MOOREFIELD,10,1,0,136,1,0,46,0,180,0,49,0,0,136,232,3,
119 - ARCOLA,32,2,1,230,1,1,50,0,335,0,100,3,0,223,387,2,
120 - LUNSFORD,16,0,0,153,4,0,59,0,263,0,55,2,0,128,241,1,
121 - TOWN HALL,25,0,1,113,3,2,36,0,175,0,58,0,0,110,158,4,
122 - HUTCHISON FARM,25,1,1,170,3,0,69,0,264,0,91,1,0,154,287,2,
123 - CARDINAL RIDGE,14,0,0,100,0,0,56,0,216,0,63,4,1,107,162,2,
124 - LIBERTY,18,0,0,121,1,0,31,0,120,2,45,0,0,102,153,1,
125 - ROCK RIDGE,12,0,0,112,1,0,29,0,151,0,41,2,2,131,255,1,
207 - RIVER BEND,18,0,0,126,4,1,57,0,161,1,93,2,5,124,177,1,
208 - ALGONKIAN,17,0,0,126,0,0,69,0,188,1,64,3,0,155,173,0,
209 - POTOMAC FALLS,30,1,0,140,3,1,63,0,232,0,79,1,0,196,262,2,
210 - CASCADES,25,2,0,191,3,1,77,0,255,1,96,3,1,285,291,1,
213 - COUNTRYSIDE,11,0,1,62,0,0,29,0,92,0,36,0,0,86,106,1,
214 - SUGARLAND NORTH,46,1,1,215,3,0,160,1,334,1,96,1,0,218,305,5,
215 - SUGARLAND SOUTH,37,1,0,149,1,0,57,1,201,3,111,2,1,247,325,1,
216 - LOWES ISLAND,19,0,1,201,1,0,106,0,270,1,70,2,1,137,292,3,
217 - SOUTH BANK,22,0,2,183,3,1,119,0,321,0,77,1,1,192,321,3,
218 - UNIVERSITY CENTER,24,1,0,77,2,0,25,0,98,0,66,0,1,141,150,2,
219 - GALILEE CHURCH,25,0,0,129,0,0,42,1,154,0,79,4,0,175,224,4,
301 - PURCELLVILLE,35,1,2,224,1,0,111,1,445,1,141,3,0,192,262,1,
302 - ROUND HILL,53,0,2,236,4,0,65,0,309,0,144,3,0,167,197,2,
303 - HILLSBORO,24,0,1,217,1,0,78,0,252,0,127,1,0,167,176,4,
305 - PHILOMONT,22,0,1,98,1,0,43,0,143,0,68,0,0,91,89,1,
307 - MIDDLEBURG,11,0,0,94,2,0,45,0,95,0,39,2,0,76,154,0,
308 - ST LOUIS,7,0,0,100,1,0,52,0,93,0,49,0,0,50,144,0,
309 - ALDIE,12,0,0,81,0,0,33,0,93,0,45,1,0,60,89,0,
310 - MOUNTAIN VIEW,50,0,2,218,3,0,52,0,385,1,174,1,0,202,191,4,
311 - ROUND HILL ELEMENTARY,44,0,0,186,1,2,57,1,310,0,147,2,0,148,172,3,
312 - BRIAR WOODS,19,1,1,140,4,0,40,0,221,0,74,2,0,128,228,1,
313 - PINEBROOK,37,0,0,244,3,0,75,1,381,1,131,2,0,252,386,8,
314 - LEGACY,34,0,1,241,2,0,81,0,371,0,74,0,1,225,423,4,
315 - FIREHOUSE,17,1,0,92,2,0,21,1,102,1,46,1,0,77,65,0,
316 - CREIGHTON'S CORNER,27,1,0,214,2,0,89,0,330,1,77,0,0,246,365,0,
