County,Clinton_Hillary,Sanders_Bernie,Adams_Jon,Judd_Keith,De La Fuente_Rocky,Hewes_Henry,O'Malley_Martin,Wilson_Willie,Wolfe_John,Trump_Donald,Cruz_Ted,Kasich_John,Rubio_Marco,Carson_Ben,Huckabee_Mike,Bush_Jeb,Paul_Rand,Christie_Chris,Fiorina_Carly,Santorum_Rick,Lynch_Jim
Shelby,240,200,2,1,1,1,4,1,2,579,548,115,80,19,6,7,2,2,0,1,0
St. Charles,17805,21593,24,14,17,29,28,10,7,30489,28554,7861,5213,446,86,217,155,100,52,61,7
St. Clair,340,320,1,0,1,1,1,3,2,962,757,115,71,23,7,5,2,4,1,0,0
St. Francois,1939,2267,5,6,6,9,6,3,2,4061,3398,474,406,73,23,40,10,9,1,2,0
St. Louis,89373,71134,87,39,58,106,83,40,48,47878,47647,23508,12258,809,147,536,224,277,134,117,13
St. Louis City ,34458,27748,13,18,24,45,33,21,13,5006,4464,2547,1408,80,17,64,40,21,14,17,4
Ste. Genevieve ,842,798,4,1,2,1,3,3,1,1080,997,176,124,19,2,13,3,1,2,2,1
Stoddard,674,489,1,2,1,2,3,0,1,3024,2141,309,226,49,30,11,7,5,1,1,0
Stone,806,885,3,0,1,2,4,1,0,3928,3218,589,304,66,23,22,8,10,2,7,0
Sullivan,177,112,0,2,0,0,2,0,0,510,331,82,44,8,6,5,4,3,0,0,0
Taney,1199,1373,1,2,0,2,0,2,1,5086,4189,678,503,121,45,24,18,18,5,5,0
Texas,603,666,4,1,3,5,7,0,0,2659,1968,241,178,64,21,28,16,8,1,3,1
Vernon,490,518,0,1,1,2,3,0,1,1530,1142,237,134,59,18,17,3,10,0,6,0
Warren,986,1222,0,1,1,5,3,2,0,2722,2392,412,269,54,11,5,16,12,3,3,0
Washington,754,664,5,2,2,2,2,3,3,1666,1329,103,111,24,5,15,7,6,1,2,0
Wayne,393,264,4,2,0,3,0,3,0,1376,874,135,82,25,14,8,2,8,2,3,0
Webster,940,1170,4,3,0,2,2,0,1,3041,4124,397,306,71,33,23,11,13,2,5,0
Worth ,59,76,0,0,0,0,0,1,0,224,174,36,29,2,1,2,2,2,0,1,0
Wright,402,385,0,1,1,0,0,1,2,1874,1808,176,121,29,17,7,3,9,1,5,0
