City/Town,Clinton_Hillary,Sanders_Bernie,O'Malley_Martin,De La Fuente_Rocky,Trump_Donald,Kasich_John,Rubio_Marco,Cruz_Ted,Carson_Ben,Bush_Jeb,Christie_Chris,Paul_Rand,Fiorina_Carly,Gilmore_Jim,Huckabee_Mike,Pataki_George,Santorum_Rick
Pelham,225,353,0,0,26,26,12,10,1,2,1,0,0,0,0,0,0
Pembroke,1250,1721,16,2,1499,407,385,260,66,30,9,4,7,2,4,1,1
Pepperell,810,1176,9,1,1001,322,324,241,58,29,9,10,6,1,1,0,0
Peru,62,77,2,0,43,8,15,12,3,1,0,0,0,0,0,1,0
Petersham,104,243,0,0,94,27,29,33,10,3,0,1,2,0,0,0,0
Phillipston,97,186,1,0,126,25,24,31,18,3,1,0,0,1,0,0,0
Pittsfield,4247,3997,23,11,949,356,382,330,115,23,10,9,4,3,6,11,4
Plainfield,66,153,0,0,23,12,11,10,2,0,0,0,0,0,0,0,0
Plainville,536,626,2,1,641,211,234,126,31,17,6,3,0,1,0,1,1
Plymouth,4360,5010,28,8,4299,1449,1310,722,196,81,39,16,11,10,5,3,2
Plympton,183,334,0,1,304,72,82,58,9,3,1,1,0,3,0,1,0
Princeton,324,459,1,0,284,165,99,94,23,5,3,4,0,0,1,0,0
Provincetown,887,486,5,0,51,18,12,7,3,0,0,0,0,1,0,0,0
Quincy,7775,8231,134,36,3711,1042,1097,629,140,90,25,18,11,12,7,9,5
Randolph,3728,2197,22,10,928,202,245,147,46,14,6,6,6,4,6,1,0
Raynham,837,893,7,1,1072,247,272,161,72,16,2,6,3,2,1,1,0
Reading,2716,2571,19,7,1696,850,795,375,86,35,9,7,5,3,1,6,1
Rehoboth,550,783,5,2,855,206,241,201,46,11,3,3,3,1,1,0,0
Revere,3691,3061,38,19,2285,223,294,205,45,21,6,5,7,2,6,1,1
Richmond,258,168,0,1,58,32,28,22,1,4,2,0,0,0,0,1,0
Rochester,325,500,1,3,548,122,137,96,42,9,2,0,2,1,1,1,0
Rockland,1267,1593,18,4,1335,164,235,226,57,78,57,8,3,3,7,1,2
Rockport,995,1134,1,2,460,257,190,85,16,17,4,1,2,1,1,0,1
Rowe,36,62,0,0,28,13,3,3,0,0,0,0,0,0,0,0,0
Rowley,470,658,3,1,633,189,213,141,35,9,2,4,2,0,1,0,0
Royalston,73,156,2,0,93,11,17,23,6,3,2,1,0,0,1,0,0
Russell,64,92,0,1,97,39,34,24,12,0,1,0,0,1,0,0,0
Rutland,517,830,0,1,674,189,209,202,48,15,8,7,3,2,2,0,1
Salem,3904,5165,24,13,1570,509,479,303,78,27,11,8,5,6,3,4,0
Salisbury,627,794,3,2,756,138,154,95,20,7,4,3,2,2,0,0,0
Sandisfield,90,94,2,1,37,5,10,8,0,1,0,0,1,1,1,0,0
Sandwich,1827,2083,15,4,1946,546,596,425,108,39,12,7,11,0,3,1,2
Saugus,2113,2132,34,10,2516,331,429,259,58,32,5,7,4,6,6,4,0
Savoy,45,60,0,0,34,5,9,7,6,0,0,0,0,0,0,0,0
Scituate,1909,1976,16,2,1369,668,591,226,49,33,11,8,3,3,3,0,4
Seekonk,720,867,3,2,775,185,266,155,34,9,3,2,5,1,4,1,1
Sharon,2401,2059,6,0,742,394,485,164,28,11,3,4,4,3,0,1,0
Sheffield,314,347,3,3,103,30,69,28,12,5,2,2,0,2,1,2,1
Shelburne,164,459,1,0,53,41,32,11,5,2,0,1,0,0,0,0,0
Sherborn,631,445,2,0,187,286,172,45,11,4,2,1,3,0,1,0,0
Shirley,421,693,6,1,484,132,134,88,27,14,5,2,3,0,3,0,0
Shrewsbury,3079,2999,26,6,1928,972,917,402,114,63,13,15,15,4,5,3,2
Shutesbury,231,573,0,1,29,26,17,8,1,0,1,1,1,0,0,0,0
Somerset,1611,1467,11,2,1016,227,288,190,51,6,4,4,4,2,2,1,1
Somerville,9016,12247,64,18,1090,653,668,217,51,25,8,18,8,5,0,5,0
S. Hadley,1558,1747,14,6,793,390,321,180,59,10,3,5,1,2,2,2,0
Southampton,489,763,4,3,466,167,158,141,20,10,2,6,2,1,1,1,0
Southborough,1049,922,6,3,548,425,415,88,31,12,8,4,4,2,1,1,0
Southbridge,1019,907,6,3,603,136,163,149,38,14,5,3,1,2,1,1,0
Southwick,453,630,8,2,758,256,239,199,42,8,1,3,2,1,1,1,1
Spencer,607,853,6,4,864,193,173,187,46,23,7,7,3,2,2,1,2
Springfield,11585,7225,104,39,2197,677,753,704,230,47,12,18,5,18,8,6,5
Sterling,574,841,6,3,679,279,284,208,64,12,3,6,2,4,0,2,1
Stockbridge,321,305,1,0,43,26,34,24,12,2,0,0,0,2,0,1,0
Stoneham,2336,2163,23,13,1817,512,469,249,47,32,8,10,4,3,5,4,2
Stoughton,2709,2314,32,7,1538,386,432,249,50,19,7,6,6,7,6,4,5
Stow,879,847,5,1,377,299,233,104,26,6,7,0,6,1,1,0,0
Sturbridge,690,797,4,3,635,231,299,150,48,16,6,1,2,1,3,0,2
Sudbury,2537,1691,15,1,736,717,565,173,25,18,6,3,3,1,3,2,0
Sunderland,273,638,0,0,94,67,52,22,5,2,0,2,0,0,1,0,0
Sutton,579,779,6,2,820,230,306,173,46,13,3,6,6,2,3,1,1
Swampscott,1918,1599,10,4,824,438,324,129,30,20,7,8,5,1,1,2,2
Swansea,1064,1056,14,5,951,199,236,156,53,8,3,7,1,0,4,2,1
Taunton,3615,3466,26,16,2440,436,608,416,124,39,9,8,10,4,4,1,0
Templeton,390,646,8,1,523,87,133,142,39,15,2,3,0,3,0,0,0
Tewksbury,2296,2716,28,13,2692,536,648,440,91,34,11,11,4,6,4,2,1
Tisbury,564,654,4,0,137,60,48,31,8,5,0,3,0,0,0,0,0
Tolland,24,37,1,0,54,13,9,12,1,0,0,0,0,1,0,0,0
Topsfield,632,644,3,1,556,353,267,105,39,15,3,3,4,1,1,0,0
Townsend,505,811,6,1,767,189,234,159,41,26,8,7,5,1,3,0,0
Truro,365,344,2,1,114,32,28,15,2,2,1,1,1,0,1,0,0
Tyngsborough,872,1026,10,2,1278,250,330,182,53,26,2,7,3,4,2,0,0
Tyringham,83,42,0,0,21,7,9,6,1,0,0,0,0,0,0,1,0
Upton,544,771,5,1,533,245,248,112,34,25,1,2,4,3,1,1,0
Uxbridge,798,1038,7,3,877,223,304,212,68,18,3,10,4,2,5,0,0
Wakefield,2651,2561,24,7,2065,652,601,339,67,52,7,15,5,2,4,2,1
Wales,82,161,0,1,137,44,23,27,4,1,0,1,2,1,0,0,0
Walpole,2068,2104,26,4,1807,810,847,340,72,53,10,6,12,4,5,2,0
Waltham,5314,5021,44,14,2368,843,756,422,83,44,14,15,9,3,6,5,0
Ware,499,731,4,6,488,111,118,87,38,8,6,4,3,2,1,0,1
Wareham,1526,1657,23,6,1468,274,327,223,89,31,9,8,8,1,4,1,3
Warren,253,394,4,2,320,54,70,77,25,12,1,2,1,1,1,0,0
Warwick,59,171,0,0,39,21,8,9,0,2,0,1,0,0,0,1,0
Washington,64,79,0,1,26,10,8,7,1,0,0,0,0,0,0,0,0
Watertown,4351,4428,24,14,1223,458,460,234,51,23,9,6,6,3,1,1,0
Wayland,2113,1423,5,1,462,561,412,108,25,19,6,4,2,2,2,1,2
Webster,886,934,10,4,872,150,212,158,55,16,6,2,0,2,2,1,0
Wellesley,4032,1815,14,0,988,1333,973,189,46,40,7,7,10,1,1,4,0
Wellfleet,451,616,1,1,134,59,32,17,8,3,0,1,0,0,0,0,0
Wendell,89,284,1,0,15,12,10,5,0,1,0,1,0,0,0,0,0
Wenham,394,336,1,0,230,249,212,60,15,12,4,2,2,0,0,2,0
W. Boylston,597,835,4,0,551,228,202,150,31,20,2,5,1,1,3,0,0
W. Bridgewater,457,603,4,4,686,153,179,106,31,16,6,2,2,1,0,0,1
W. Brookfield,212,382,0,0,276,71,71,75,18,4,1,0,0,0,0,0,0
W. Newbury,467,508,1,1,362,172,149,78,18,6,2,1,3,0,2,0,0
W. Springfield,1581,1683,11,10,1298,496,398,296,88,15,5,2,1,2,4,3,2
W. Stockbridge,214,250,0,1,41,14,24,5,7,2,0,0,0,0,0,0,0
W. Tisbury,465,647,3,0,100,49,30,26,9,0,3,0,0,0,0,0,0
Westborough,1676,1584,7,3,780,587,516,198,51,30,13,7,6,3,1,1,0
Westfield,2065,2796,29,8,2158,804,662,524,150,42,16,11,6,8,6,5,3
Westford,2129,2402,17,4,1562,936,884,322,83,33,10,14,9,4,4,2,1
Westhampton,144,263,0,2,124,50,30,32,7,2,0,1,0,0,0,0,0
Westminster,483,753,6,2,553,173,212,120,49,9,2,0,0,0,1,1,1
Weston,1483,690,5,2,495,559,403,83,15,15,3,3,1,0,0,1,0
Westport,1319,1498,11,4,1013,240,283,189,49,12,4,4,3,3,1,1,2
Westwood,1834,1373,12,3,1000,675,557,200,30,27,2,6,2,2,1,2,1
Weymouth,5010,5503,73,19,3860,929,1029,616,150,92,18,14,11,6,8,7,5
Whately,153,311,1,0,98,43,21,19,3,1,0,0,0,2,0,0,2
Whitman,970,1414,11,3,1242,266,292,186,52,24,5,8,4,2,1,1,1
Wilbraham,1047,1142,7,4,985,445,440,273,69,8,3,6,3,2,2,2,1
Williamsburg,371,627,1,0,99,53,42,16,4,0,0,0,2,0,1,1,0
Williamstown,1126,1080,4,1,123,103,117,50,16,6,3,5,0,1,1,0,0
Wilmington,1796,2209,17,4,2079,463,526,351,64,35,11,6,3,4,3,4,1
Winchendon,408,714,2,0,593,89,120,139,72,13,4,4,1,1,4,1,0
Winchester,2991,1967,20,5,1286,923,746,209,24,30,12,5,8,1,2,2,3
Windsor,77,137,0,0,45,14,14,9,4,0,2,0,0,1,0,0,0
Winthrop,1703,1757,13,9,1167,247,231,147,41,11,3,8,1,1,1,4,1
Woburn,3535,3677,49,21,2828,587,695,468,106,52,8,15,6,9,4,4,0
Worcester,12155,11649,128,50,4271,1268,1517,1114,277,123,30,35,13,11,10,7,5
Worthington,98,251,0,0,50,34,7,28,7,1,1,0,0,1,0,0,0
Wrentham,745,908,7,2,838,334,375,174,42,11,7,8,3,2,0,3,1
Yarmouth,2246,2050,19,6,1983,623,562,272,111,53,18,5,9,5,3,1,2
